-----------------------Aishwarya Karande : Automation Script-------------------------
Script name : ,DirectoryChecksum.py
Checksum of files :  
Checksum of ,F:\Marvellous_Infosystem\PML\Assignments_Completed\PM312500417_PML_Assignment_11\Assignment11_1\Demo\demo.cpp, is : ,d41d8cd98f00b204e9800998ecf8427e
Checksum of ,F:\Marvellous_Infosystem\PML\Assignments_Completed\PM312500417_PML_Assignment_11\Assignment11_1\Demo\demo1.c, is : ,0bdff8095c8bf1b38775bf35547a1317
Checksum of ,F:\Marvellous_Infosystem\PML\Assignments_Completed\PM312500417_PML_Assignment_11\Assignment11_1\Demo\demo1.txt, is : ,06f3b7c146bdb3e2e2923c390d001a7e
Checksum of ,F:\Marvellous_Infosystem\PML\Assignments_Completed\PM312500417_PML_Assignment_11\Assignment11_1\Demo\demo2.txt, is : ,8157d4ff456677a269c9e94a76894fe8
Checksum of ,F:\Marvellous_Infosystem\PML\Assignments_Completed\PM312500417_PML_Assignment_11\Assignment11_1\Demo\demo3.txt, is : ,2446bc54f575365baffda0df13a5dd4d
Checksum of ,F:\Marvellous_Infosystem\PML\Assignments_Completed\PM312500417_PML_Assignment_11\Assignment11_1\Demo\new_Dummy_1\demo2.c, is : ,ed87d1267f0af0a3bd1393b2f0bde52a
Checksum of ,F:\Marvellous_Infosystem\PML\Assignments_Completed\PM312500417_PML_Assignment_11\Assignment11_1\Demo\new_Dummy_1\demo4.txt, is : ,7322aa3e223d7ba422eddfcd350d6e1a
Checksum of ,F:\Marvellous_Infosystem\PML\Assignments_Completed\PM312500417_PML_Assignment_11\Assignment11_1\Demo\new_Dummy_1\new_Dummy_2\demo5.txt, is : ,d263f3bf5f2da9fb0e9411190d7df711
-----------------------Aishwarya Karande : Automation Script-------------------------
Script name : ,DirectoryChecksum.py
